IP,Hostname,Port,Port Protocol,CVSS,Severity,QoD,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
192.168.100.6,,8009,tcp,9.8,High,99,"VendorFix","Apache Tomcat AJP RCE Vulnerability (Ghostcat)","Apache Tomcat is prone to a remote code execution (RCE)
  vulnerability (dubbed 'Ghostcat') in the AJP connector.","The returned status is '400', which should be '403' on a patched system, when trying to read a file which indicates that the installation is vulnerable.
",1.3.6.1.4.1.25623.1.0.143545,"CVE-2020-1938",89757f08-dfa0-448c-a3c4-f3708aeaa451,"dasssd",2024-08-28T11:17:47Z,077f3d77-b31e-47f1-a59f-89c817da8c6a,"","Update Apache Tomcat to version 7.0.100, 8.5.51, 9.0.31 or later. For other products
  using Tomcat please contact the vendor for more information on fixed versions.","Apache Tomcat versions prior 7.0.100, 8.5.51 or 9.0.31 when the AJP connector
  is enabled.

  Other products like JBoss or Wildfly which are using Tomcat might be affected as well.","Apache Tomcat server has a file containing vulnerability, which can be used by
  an attacker to read or include any files in all webapp directories on Tomcat, such as webapp configuration files
  or source code.","Sends a crafted AJP request and checks the response.
Details:
Apache Tomcat AJP RCE Vulnerability (Ghostcat)
(OID: 1.3.6.1.4.1.25623.1.0.143545)
Version used: 2024-06-28T15:38:46Z
","","","DFN-CERT-2021-1736,DFN-CERT-2020-1508,DFN-CERT-2020-1413,DFN-CERT-2020-1276,DFN-CERT-2020-1134,DFN-CERT-2020-0850,DFN-CERT-2020-0835,DFN-CERT-2020-0821,DFN-CERT-2020-0569,DFN-CERT-2020-0557,DFN-CERT-2020-0501,DFN-CERT-2020-0381,WID-SEC-2024-0528,WID-SEC-2023-2480,CB-K20/0711,CB-K20/0705,CB-K20/0693,CB-K20/0555,CB-K20/0543,CB-K20/0154",""
192.168.100.6,,80,tcp,5.0,Medium,99,"WillNotFix","awiki <= 20100125 Multiple LFI Vulnerabilities - Active Check","awiki is prone to multiple local file include (LFI)
  vulnerabilities because it fails to properly sanitize user-supplied input.","Vulnerable URL: http://192.168.100.6/mutillidae/index.php?page=/etc/passwd
",1.3.6.1.4.1.25623.1.0.103210,"",89757f08-dfa0-448c-a3c4-f3708aeaa451,"dasssd",2024-08-28T11:17:47Z,d3766801-714b-44c7-9cac-40a5c72a16a3,"An attacker can exploit this vulnerability to obtain potentially
  sensitive information and execute arbitrary local scripts in the context of the webserver
  process. This may allow the attacker to compromise the application and the host.","No known solution was made available for at least one year
  since the disclosure of this vulnerability. Likely none will be provided anymore. General
  solution options are to upgrade to a newer release, disable respective features, remove the
  product or replace the product by another one.","awiki version 20100125 and prior.","","Sends a crafted HTTP GET request and checks the response.
Details:
awiki <= 20100125 Multiple LFI Vulnerabilities - Active Check
(OID: 1.3.6.1.4.1.25623.1.0.103210)
Version used: 2023-12-13T05:05:23Z
","","","",""
192.168.100.28,,80,tcp,5.0,Medium,99,"WillNotFix","awiki <= 20100125 Multiple LFI Vulnerabilities - Active Check","awiki is prone to multiple local file include (LFI)
  vulnerabilities because it fails to properly sanitize user-supplied input.","Vulnerable URL: http://192.168.100.28/mutillidae/index.php?page=/etc/passwd
",1.3.6.1.4.1.25623.1.0.103210,"",89757f08-dfa0-448c-a3c4-f3708aeaa451,"dasssd",2024-08-28T11:17:47Z,e35b0b4f-317c-4ea8-b76d-d04f510057e1,"An attacker can exploit this vulnerability to obtain potentially
  sensitive information and execute arbitrary local scripts in the context of the webserver
  process. This may allow the attacker to compromise the application and the host.","No known solution was made available for at least one year
  since the disclosure of this vulnerability. Likely none will be provided anymore. General
  solution options are to upgrade to a newer release, disable respective features, remove the
  product or replace the product by another one.","awiki version 20100125 and prior.","","Sends a crafted HTTP GET request and checks the response.
Details:
awiki <= 20100125 Multiple LFI Vulnerabilities - Active Check
(OID: 1.3.6.1.4.1.25623.1.0.103210)
Version used: 2023-12-13T05:05:23Z
","","","",""
192.168.100.28,,25,tcp,5.0,Medium,99,"Workaround","Check if Mailserver answer to VRFY and EXPN requests","The Mailserver on this host answers to VRFY and/or EXPN requests.","'VRFY root' produces the following answer: 252 2.0.0 root


",1.3.6.1.4.1.25623.1.0.100072,"",89757f08-dfa0-448c-a3c4-f3708aeaa451,"dasssd",2024-08-28T11:17:47Z,09a63d9d-c3c6-4cf1-afcd-1edc7190fc96,"","Disable VRFY and/or EXPN on your Mailserver.

  For postfix add 'disable_vrfy_command=yes' in 'main.cf'.

  For Sendmail add the option 'O PrivacyOptions=goaway'.

  It is suggested that, if you really want to publish this type of information, you use a mechanism
  that legitimate users actually know about, such as Finger or HTTP.","","VRFY and EXPN ask the server for information about an address. They are
  inherently unusable through firewalls, gateways, mail exchangers for part-time hosts, etc.","
Details:
Check if Mailserver answer to VRFY and EXPN requests
(OID: 1.3.6.1.4.1.25623.1.0.100072)
Version used: 2023-10-31T05:06:37Z
","","","",""
192.168.100.6,,25,tcp,5.0,Medium,99,"Workaround","Check if Mailserver answer to VRFY and EXPN requests","The Mailserver on this host answers to VRFY and/or EXPN requests.","'VRFY root' produces the following answer: 252 2.0.0 root


",1.3.6.1.4.1.25623.1.0.100072,"",89757f08-dfa0-448c-a3c4-f3708aeaa451,"dasssd",2024-08-28T11:17:47Z,43999ff8-9ffd-491c-9020-6c1472e85f2b,"","Disable VRFY and/or EXPN on your Mailserver.

  For postfix add 'disable_vrfy_command=yes' in 'main.cf'.

  For Sendmail add the option 'O PrivacyOptions=goaway'.

  It is suggested that, if you really want to publish this type of information, you use a mechanism
  that legitimate users actually know about, such as Finger or HTTP.","","VRFY and EXPN ask the server for information about an address. They are
  inherently unusable through firewalls, gateways, mail exchangers for part-time hosts, etc.","
Details:
Check if Mailserver answer to VRFY and EXPN requests
(OID: 1.3.6.1.4.1.25623.1.0.100072)
Version used: 2023-10-31T05:06:37Z
","","","",""
192.168.100.6,,80,tcp,4.8,Medium,80,"Workaround","Cleartext Transmission of Sensitive Information via HTTP","The host / application transmits sensitive information (username, passwords) in
  cleartext via HTTP.","The following input fields were identified (URL:input name):

http://192.168.100.6/dvwa/login.php:password
http://192.168.100.6/phpMyAdmin/:pma_password
http://192.168.100.6/phpMyAdmin/?D=A:pma_password
http://192.168.100.6/tikiwiki/tiki-install.php:pass
http://192.168.100.6/twiki/bin/view/TWiki/TWikiUserAuthentication:oldpassword
",1.3.6.1.4.1.25623.1.0.108440,"",89757f08-dfa0-448c-a3c4-f3708aeaa451,"dasssd",2024-08-28T11:17:47Z,e6d5e92d-9d01-4b07-8c32-299d89a202f2,"An attacker could use this situation to compromise or eavesdrop on the
  HTTP communication between the client and the server using a man-in-the-middle attack to get access to
  sensitive data like usernames or passwords.","Enforce the transmission of sensitive data via an encrypted SSL/TLS connection.
  Additionally make sure the host / application is redirecting all users to the secured SSL/TLS connection before
  allowing to input sensitive data into the mentioned functions.","Hosts / applications which doesn't enforce the transmission of sensitive data via an
  encrypted SSL/TLS connection.","","Evaluate previous collected information and check if the host / application is not
  enforcing the transmission of sensitive data via an encrypted SSL/TLS connection.

  The script is currently checking the following:

  - HTTP Basic Authentication (Basic Auth)

  - HTTP Forms (e.g. Login) with input field of type 'password'
Details:
Cleartext Transmission of Sensitive Information via HTTP
(OID: 1.3.6.1.4.1.25623.1.0.108440)
Version used: 2023-09-07T05:05:21Z
","","","",""
192.168.100.28,,80,tcp,4.8,Medium,80,"Workaround","Cleartext Transmission of Sensitive Information via HTTP","The host / application transmits sensitive information (username, passwords) in
  cleartext via HTTP.","The following input fields were identified (URL:input name):

http://192.168.100.28/dvwa/login.php:password
http://192.168.100.28/phpMyAdmin/:pma_password
http://192.168.100.28/phpMyAdmin/?D=A:pma_password
http://192.168.100.28/tikiwiki/tiki-install.php:pass
http://192.168.100.28/twiki/bin/view/TWiki/TWikiUserAuthentication:oldpassword
",1.3.6.1.4.1.25623.1.0.108440,"",89757f08-dfa0-448c-a3c4-f3708aeaa451,"dasssd",2024-08-28T11:17:47Z,45be9e41-572e-4fc4-ad7a-c69c422ed746,"An attacker could use this situation to compromise or eavesdrop on the
  HTTP communication between the client and the server using a man-in-the-middle attack to get access to
  sensitive data like usernames or passwords.","Enforce the transmission of sensitive data via an encrypted SSL/TLS connection.
  Additionally make sure the host / application is redirecting all users to the secured SSL/TLS connection before
  allowing to input sensitive data into the mentioned functions.","Hosts / applications which doesn't enforce the transmission of sensitive data via an
  encrypted SSL/TLS connection.","","Evaluate previous collected information and check if the host / application is not
  enforcing the transmission of sensitive data via an encrypted SSL/TLS connection.

  The script is currently checking the following:

  - HTTP Basic Authentication (Basic Auth)

  - HTTP Forms (e.g. Login) with input field of type 'password'
Details:
Cleartext Transmission of Sensitive Information via HTTP
(OID: 1.3.6.1.4.1.25623.1.0.108440)
Version used: 2023-09-07T05:05:21Z
","","","",""
192.168.100.31,,80,tcp,4.8,Medium,80,"Workaround","Cleartext Transmission of Sensitive Information via HTTP","The host / application transmits sensitive information (username, passwords) in
  cleartext via HTTP.","The following input fields were identified (URL:input name):

http://192.168.100.31/:pass
http://192.168.100.31/?q=filter/tips:pass
http://192.168.100.31/?q=user/login:pass
http://192.168.100.31/cgi-bin:pass
http://192.168.100.31/filter/tips:pass
http://192.168.100.31/filter:pass
http://192.168.100.31/user/login:pass
http://192.168.100.31/user:pass
",1.3.6.1.4.1.25623.1.0.108440,"",89757f08-dfa0-448c-a3c4-f3708aeaa451,"dasssd",2024-08-28T11:17:47Z,187bb981-0906-4842-bba0-1ccc6ecba5cf,"An attacker could use this situation to compromise or eavesdrop on the
  HTTP communication between the client and the server using a man-in-the-middle attack to get access to
  sensitive data like usernames or passwords.","Enforce the transmission of sensitive data via an encrypted SSL/TLS connection.
  Additionally make sure the host / application is redirecting all users to the secured SSL/TLS connection before
  allowing to input sensitive data into the mentioned functions.","Hosts / applications which doesn't enforce the transmission of sensitive data via an
  encrypted SSL/TLS connection.","","Evaluate previous collected information and check if the host / application is not
  enforcing the transmission of sensitive data via an encrypted SSL/TLS connection.

  The script is currently checking the following:

  - HTTP Basic Authentication (Basic Auth)

  - HTTP Forms (e.g. Login) with input field of type 'password'
Details:
Cleartext Transmission of Sensitive Information via HTTP
(OID: 1.3.6.1.4.1.25623.1.0.108440)
Version used: 2023-09-07T05:05:21Z
","","","",""
192.168.100.31,,,,0.0,Log,80,"","CPE Inventory","This routine uses information collected by other routines about
  CPE identities of operating systems, services and applications detected during the scan.

  Note: Some CPEs for specific products might show up twice or more in the output. Background:

  After a product got renamed or a specific vendor was acquired by another one it might happen that
  a product gets a new CPE within the NVD CPE Dictionary but older entries are kept with the older
  CPE.","192.168.100.31|cpe:/a:apache:http_server:2.2.22
192.168.100.31|cpe:/a:drupal:drupal:7
192.168.100.31|cpe:/a:ietf:secure_shell_protocol:2.0
192.168.100.31|cpe:/a:jquery:jquery
192.168.100.31|cpe:/a:openbsd:openssh:6.0p1
192.168.100.31|cpe:/a:php:php:5.4.45
192.168.100.31|cpe:/a:portmap:portmap
192.168.100.31|cpe:/a:std42:elfinder
192.168.100.31|cpe:/o:debian:debian_linux:7

",1.3.6.1.4.1.25623.1.0.810002,"",89757f08-dfa0-448c-a3c4-f3708aeaa451,"dasssd",2024-08-28T11:17:47Z,7c4acaed-d615-4527-abb9-75590e600a66,"","","","","
Details:
CPE Inventory
(OID: 1.3.6.1.4.1.25623.1.0.810002)
Version used: 2022-07-27T10:11:28Z
","","","",""
192.168.100.28,,,,0.0,Log,80,"","CPE Inventory","This routine uses information collected by other routines about
  CPE identities of operating systems, services and applications detected during the scan.

  Note: Some CPEs for specific products might show up twice or more in the output. Background:

  After a product got renamed or a specific vendor was acquired by another one it might happen that
  a product gets a new CPE within the NVD CPE Dictionary but older entries are kept with the older
  CPE.","192.168.100.28|cpe:/a:apache:http_server:2.2.8
192.168.100.28|cpe:/a:beasts:vsftpd:2.3.4
192.168.100.28|cpe:/a:ietf:secure_shell_protocol:2.0
192.168.100.28|cpe:/a:ietf:secure_sockets_layer:2.0
192.168.100.28|cpe:/a:ietf:secure_sockets_layer:3.0
192.168.100.28|cpe:/a:ietf:transport_layer_security:1.0
192.168.100.28|cpe:/a:isc:bind:9.4.2
192.168.100.28|cpe:/a:jquery:jquery:1.3.2
192.168.100.28|cpe:/a:mysql:mysql:5.0.51a
192.168.100.28|cpe:/a:openbsd:openssh:4.7p1
192.168.100.28|cpe:/a:oracle:mysql:5.0.51a
192.168.100.28|cpe:/a:php:php:5.2.4
192.168.100.28|cpe:/a:phpmyadmin:phpmyadmin:3.1.1
192.168.100.28|cpe:/a:portmap:portmap
192.168.100.28|cpe:/a:postfix:postfix
192.168.100.28|cpe:/a:postgresql:postgresql:8.3.1
192.168.100.28|cpe:/a:proftpd:proftpd:1.3.1
192.168.100.28|cpe:/a:samba:samba:3.0.20
192.168.100.28|cpe:/a:twiki:twiki:01.Feb.2003
192.168.100.28|cpe:/a:unrealircd:unrealircd:3.2.8.1
192.168.100.28|cpe:/o:canonical:ubuntu_linux:8.04

",1.3.6.1.4.1.25623.1.0.810002,"",89757f08-dfa0-448c-a3c4-f3708aeaa451,"dasssd",2024-08-28T11:17:47Z,17bf6bce-ad99-4936-b1b9-699515871315,"","","","","
Details:
CPE Inventory
(OID: 1.3.6.1.4.1.25623.1.0.810002)
Version used: 2022-07-27T10:11:28Z
","","","",""
192.168.100.6,,,,0.0,Log,80,"","CPE Inventory","This routine uses information collected by other routines about
  CPE identities of operating systems, services and applications detected during the scan.

  Note: Some CPEs for specific products might show up twice or more in the output. Background:

  After a product got renamed or a specific vendor was acquired by another one it might happen that
  a product gets a new CPE within the NVD CPE Dictionary but older entries are kept with the older
  CPE.","192.168.100.6|cpe:/a:apache:http_server:2.2.8
192.168.100.6|cpe:/a:beasts:vsftpd:2.3.4
192.168.100.6|cpe:/a:ietf:secure_shell_protocol:2.0
192.168.100.6|cpe:/a:ietf:secure_sockets_layer:2.0
192.168.100.6|cpe:/a:ietf:secure_sockets_layer:3.0
192.168.100.6|cpe:/a:ietf:transport_layer_security:1.0
192.168.100.6|cpe:/a:isc:bind:9.4.2
192.168.100.6|cpe:/a:jquery:jquery:1.3.2
192.168.100.6|cpe:/a:mysql:mysql:5.0.51a
192.168.100.6|cpe:/a:openbsd:openssh:4.7p1
192.168.100.6|cpe:/a:oracle:mysql:5.0.51a
192.168.100.6|cpe:/a:php:php:5.2.4
192.168.100.6|cpe:/a:phpmyadmin:phpmyadmin:3.1.1
192.168.100.6|cpe:/a:portmap:portmap
192.168.100.6|cpe:/a:postfix:postfix
192.168.100.6|cpe:/a:postgresql:postgresql:8.3.1
192.168.100.6|cpe:/a:proftpd:proftpd:1.3.1
192.168.100.6|cpe:/a:samba:samba:3.0.20
192.168.100.6|cpe:/a:twiki:twiki:01.Feb.2003
192.168.100.6|cpe:/a:unrealircd:unrealircd:3.2.8.1
192.168.100.6|cpe:/o:canonical:ubuntu_linux:8.04

",1.3.6.1.4.1.25623.1.0.810002,"",89757f08-dfa0-448c-a3c4-f3708aeaa451,"dasssd",2024-08-28T11:17:47Z,504f3adc-3b13-4a30-bb7b-df4c42d581cd,"","","","","
Details:
CPE Inventory
(OID: 1.3.6.1.4.1.25623.1.0.810002)
Version used: 2022-07-27T10:11:28Z
","","","",""
192.168.100.28,,3306,tcp,0.0,Log,80,"Workaround","Database Open Access Information Disclosure Vulnerability","Various Database server might be prone to an information
  disclosure vulnerability if accessible to remote systems.","Oracle MySQL can be accessed by remote attackers
",1.3.6.1.4.1.25623.1.0.902799,"",89757f08-dfa0-448c-a3c4-f3708aeaa451,"dasssd",2024-08-28T11:17:47Z,7a045d0c-55b2-43bf-8684-a6541ac21c46,"Successful exploitation could allow an attacker to obtain
  sensitive information from the database.","Restrict database access to remote systems. Please see the
  manual of the affected database server for more information.","'- Oracle MySQL

  - MariaDB

  - IBM DB2

  - PostgreSQL

  - IBM solidDB

  - Oracle Database

  - Microsoft SQL Server","The remote database server is not restricting direct access from
  remote systems.","Checks the result of various database server detections and
  evaluates their results.
Details:
Database Open Access Information Disclosure Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.902799)
Version used: 2024-07-19T15:39:06Z
","","","",""
